Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
20-15	1418	164	KL47, OCL5	Xi'an	20200603	512	8	64	64	1024	1024	256	<0.06	2	<0.03	SAMN36593460
20-16	-	2	KL14, OCL1	Xi'an	20200907	512	512	64	128	1024	1024	1024	2	2	0.5	SAMN36593461
20-18	208	2	KL2, OCL1	Xi'an	20201021	512	512	16	16	1024	128	64	4	2	0.25	SAMN36593462
20-3	-	2	KL14, OCL1	Xi'an	20200917	512	512	128	128	1024	1024	512	2	2	0.25	SAMN36593463
20-6	208	2	KL2, OCL1	Xi'an	20201226	512	512	16	32	1024	128	32	4	2	0.125	SAMN36593464
20-9	195	2	KL3, OCL1	Xi'an	20200111	512	512	256	256	1024	1024	1024	4	1	0.25	SAMN36593465
21-11	1418	164	KL47, OCL5	Xi'an	20210922	4	4	128	64	1024	1024	1024	<0.06	1	<0.03	SAMN36593466
21-13	195	2	KL3, OCL1	Xi'an	20211203	512	512	256	128	1024	1024	512	4	1	<0.03	SAMN36593467
21-17	208	2	KL2, OCL1	Xi'an	20211120	512	512	16	16	1024	128	32	4	2	0.125	SAMN36593468
21-19	1418	164	KL47, OCL5	Xi'an	20210121	4	4	64	64	1024	1024	1024	<0.06	1	0.06	SAMN36593469
21-21	195	2	KL3, OCL1	Xi'an	20210126	512	512	256	128	1024	1024	512	4	1	0.25	SAMN36593470
21-3	208	2	KL2, OCL1	Xi'an	20210404	512	512	16	16	1024	128	64	4	2	0.25	SAMN36593471
21-4	381	2	KL77, OCL1	Xi'an	20210404	4	256	256	64	1024	128	512	2	2	0.25	SAMN36593472
21-6	1418	164	KL47, OCL5	Xi'an	20210825	4	4	128	64	1024	1024	1024	<0.06	2	0.06	SAMN36593473
21-9	195	2	KL3, OCL1	Xi'an	20210901	512	512	128	256	1024	1024	512	4	1	0.25	SAMN36593474
22-1	195	2	KL3, OCL1	Xi'an	20220103	512	512	256	128	1024	1024	512	2	1	0.125	SAMN36593475
22-10	208	2	KL2, OCL1	Xi'an	20220311	512	512	16	32	1024	128	64	4	2	0.25	SAMN36593476
22-11	540	2	KL160, OCL1	Xi'an	20220516	512	512	128	64	1024	256	512	4	2	0.5	SAMN36593477
22-13	195	2	KL3, OCL1	Xi'an	20220605	512	512	128	256	1024	1024	1024	2	2	<0.03	SAMN36593478
22-17	195	2	KL3, OCL1	Xi'an	20220216	512	512	256	256	1024	1024	512	2	1	<0.03	SAMN36593479
22-18	195	2	KL3, OCL1	Xi'an	20220406	512	512	256	128	1024	1024	512	4	1	0.25	SAMN36593480
22-21	195	2	KL3, OCL1	Xi'an	20220614	512	512	256	128	1024	512	512	8	0.25	0.06	SAMN36593481
22-22	195	2	KL3, OCL1	Xi'an	20220710	512	512	256	256	1024	1024	512	4	1	0.25	SAMN36593482
22-3	208	2	KL2, OCL1	Xi'an	20220130	512	512	16	16	1024	128	128	4	2	0.125	SAMN36593483
22-4	195	2	KL3, OCL1	Xi'an	20220413	512	512	256	256	1024	1024	512	4	2	<0.03	SAMN36593484
22-5	208	2	KL2, OCL1	Xi'an	20220606	16	512	16	32	1024	512	256	4	1	0.125	SAMN36593485
