Strain	ST Oxf	ST Pas	K/O typing	City	Collection date	AMK	GEN	IPM	MEM	CRO	CAZ	FEP	MIN	TGC	CST	Accession
SX-80	208	2	KL3, OCL1	Shaoxing	20220129	512	512	32	32	1024	512	512	16	1	0.06	SAMN36593629
SX-86	195	2	KL160, OCL1	Shaoxing	20220305	512	512	64	64	1024	512	512	16	0.5	0.5	SAMN36593630
SX-9	208	2	KL14, OCL1	Shaoxing	20210721	8	16	64	32	1024	128	512	2	2	0.25	SAMN36593631
SX-92	462	46	KL2, OCL1	Shaoxing	20220224	8	32	32	32	1024	8	512	8	1	0.25	SAMN36593632
SX-93	195	2	KL14, OCL1	Shaoxing	20220627	8	16	32	32	1024	1024	512	16	1	0.125	SAMN36593633
SX-95	208	2	KL160, OCL1	Shaoxing	20220709	8	512	32	16	1024	128	512	32	1	0.25	SAMN36593634
TD-1	195	2	KL160, OCL1	Xi'an	20220320	512	512	64	32	1024	1024	512	8	2	0.25	SAMN36593635
TD-10	195	2	KL2, OCL1	Xi'an	20221010	512	512	64	64	1024	1024	1024	64	4	0.5	SAMN36593636
TD-6	938	2	KL2, OCL1	Xi'an	20221010	512	512	64	128	1024	1024	512	16	4	0.125	SAMN36593637
TZ-1	208	2	KL210, OCL1	Taizhou	20200103	512	512	32	32	1024	128	512	16	1	0.25	SAMN36593638
TZ-106	-	1057	KL160, OCL1	Taizhou	20200728	4	2	128	128	16	8	4	<0.06	0.5	0.25	SAMN36593639
TZ-119	-	-	KL160, OCL1	Taizhou	20200730	8	2	0.5	4	32	16	8	<0.06	1	0.5	SAMN36593640
TZ-120	-	294	KL2, OCL1	Taizhou	20200805	2	4	16	32	16	8	4	<0.06	0.5	0.25	SAMN36593641
TZ-126	208	2	KL160, OCL1	Taizhou	20200811	512	512	64	256	1024	1024	1024	2	1	0.125	SAMN36593642
TZ-13	208	2	KL160, OCL1	Taizhou	20200114	512	512	128	128	1024	512	512	16	2	0.25	SAMN36593643
TZ-134	208	2	KL160, OCL1	Taizhou	20200813	512	512	128	256	1024	1024	1024	2	2	0.125	SAMN36593644
TZ-139	208	2	KL160, OCL1	Taizhou	20200816	512	512	128	256	1024	1024	512	2	2	0.125	SAMN36593645
TZ-142	208	2	KL9, OCL1	Taizhou	20200821	512	512	64	128	1024	128	512	16	1	0.25	SAMN36593646
TZ-143	208	2	KL9, OCL1	Taizhou	20200825	512	512	128	256	1024	1024	1024	2	2	0.25	SAMN36593647
TZ-146	208	2	KL9, OCL1	Taizhou	20200902	512	512	32	128	1024	1024	128	2	1	0.125	SAMN36593648
TZ-154	540	2	KL210, OCL1	Taizhou	20200906	512	512	32	64	1024	128	1024	4	2	0.5	SAMN36593649
TZ-156	208	2	KL160, OCL1	Taizhou	20200906	512	512	128	128	1024	1024	1024	2	1	0.125	SAMN36593650
TZ-158	208	2	KL160, OCL1	Taizhou	20200908	512	512	64	128	1024	128	1024	2	2	0.125	SAMN36593651
TZ-164	-	-	KL104, OCL1	Taizhou	20200909	1	2	16	32	256	8	4	<0.06	0.5	0.125	SAMN36593652
TZ-167	208	2	KL160, OCL1	Taizhou	20200910	512	512	32	256	1024	1024	512	2	2	0.125	SAMN36593653
TZ-173	208	2	KL3, OCL1	Taizhou	20200916	512	512	512	128	1024	128	256	4	0.5	0.125	SAMN36593654
TZ-19	208	2	KL160, OCL1	Taizhou	20200119	512	512	256	16	1024	128	512	16	4	0.25	SAMN36593655
TZ-190	208	2	KL3, OCL1	Taizhou	20200920	512	512	256	256	1024	1024	512	8	2	0.125	SAMN36593656
TZ-194	369	2	KL3, OCL1	Taizhou	20200930	32	64	32	64	1024	1024	512	4	1	0.5	SAMN36593657
TZ-197	208	2	KL160, OCL1	Taizhou	20201005	512	512	256	128	1024	1024	512	2	2	0.25	SAMN36593658
TZ-207	208	2	KL160, OCL1	Taizhou	20201012	512	512	16	32	512	128	32	16	1	0.25	SAMN36593659
TZ-221	208	2	KL210, OCL1	Taizhou	20201021	512	512	64	128	1024	128	256	4	1	0.125	SAMN36593660
TZ-228	1110	-	KL104, OCL1	Taizhou	20201107	4	2	0.5	1	16	4	4	<0.06	0.5	0.125	SAMN36593661
TZ-231	208	2	KL160, OCL1	Taizhou	20201118	512	512	32	32	512	128	64	16	1	0.25	SAMN36593662
TZ-238	208	2	KL210, OCL1	Taizhou	20201123	512	512	32	32	512	128	128	16	1	0.25	SAMN36593663
TZ-24	938	2	KL210, OCL1	Taizhou	20200129	512	512	64	64	1024	512	1024	4	2	0.125	SAMN36593664
TZ-240	191	2	KL7, OCL1	Taizhou	20201206	8	512	32	32	1024	128	64	1	1	0.25	SAMN36593665
TZ-245	195	2	KL28, OCL1	Taizhou	20201211	512	512	16	32	1024	512	64	16	1	0.03	SAMN36593666
TZ-249	208	2	KL160, OCL1	Taizhou	20201223	512	512	32	64	1024	128	256	2	1	0.125	SAMN36593667
TZ-25	938	2	KL7, OCL1	Taizhou	20200220	512	512	64	64	1024	512	128	8	2	0.125	SAMN36593668
TZ-255	208	2	KL160, OCL1	Taizhou	20201227	512	512	32	64	1024	128	128	1	2	0.125	SAMN36593669
TZ-261	540	2	KL92, OCL6	Taizhou	20210102	512	512	32	32	1024	256	64	4	2	0.5	SAMN36593670
TZ-263	208	2	KL210, OCL1	Taizhou	20210110	512	512	32	32	512	128	64	2	2	0.25	SAMN36593671
TZ-268	191	2	KL1, OCL1	Taizhou	20210119	16	512	128	64	1024	128	1024	8	2	2	SAMN36593672
TZ-272	208	2	KL210, OCL1	Taizhou	20210202	512	512	64	64	1024	256	1024	2	2	0.25	SAMN36593673
TZ-274	369	2	KL2, OCL1	Taizhou	20210211	64	256	256	128	1024	1024	1024	16	2	0.25	SAMN36593674
TZ-28	369	2	KL34, OCL1	Taizhou	20200228	8	32	64	64	1024	512	1024	1	1	0.25	SAMN36593675
TZ-282	369	2	KL3, OCL1	Taizhou	20210216	64	512	128	128	1024	512	1024	16	2	0.5	SAMN36593676
TZ-289	191	2	KL3, OCL1	Taizhou	20210224	8	256	128	128	1024	128	128	1	2	2	SAMN36593677
TZ-294	208	2	KL72, OCL1	Taizhou	20210301	512	512	64	64	512	128	512	4	2	0.125	SAMN36593678
TZ-296	208	2	KL14, OCL1	Taizhou	20210303	512	512	256	64	1024	1024	256	2	1	0.125	SAMN36593679
TZ-3	208	2	KL72, OCL1	Taizhou	20191231	512	512	32	64	1024	128	1024	16	1	0.25	SAMN36593680
TZ-30	208	2	KL72, OCL1	Taizhou	20200319	512	512	128	128	1024	128	512	2	1	0.125	SAMN36593681
TZ-305	208	2	KL72, OCL1	Taizhou	20210310	512	512	256	128	1024	1024	512	4	2	0.25	SAMN36593682
TZ-310	191	2	KL2, OCL1	Taizhou	20210315	512	512	128	64	1024	128	1024	2	2	0.5	SAMN36593683
TZ-317	208	2	KL28, OCL1	Taizhou	20210320	4	128	16	16	512	64	128	2	2	2	SAMN36593684
TZ-33	208	2	KL28, OCL1	Taizhou	20200327	2	512	32	32	256	32	32	2	2	0.03	SAMN36593685
TZ-343	208	2	KL77, OCL1	Taizhou	20210417	512	512	32	16	1024	128	512	16	1	0.5	SAMN36593686
TZ-344	-	924	KL7, OCL1	Taizhou	20210428	4	2	0.25	0.5	16	8	4	<0.06	0.25	1	SAMN36593687
TZ-350	540	2	KL3, OCL1	Taizhou	20210505	512	512	64	64	1024	1024	1024	8	2	1	SAMN36593688
TZ-352	208	2	KL3, OCL1	Taizhou	20210511	4	512	128	128	1024	128	1024	8	1	0.125	SAMN36593689
TZ-360	540	2	KL3, OCL1	Taizhou	20210607	512	512	64	32	1024	128	1024	8	2	1	SAMN36593690
TZ-365	369	2	KL160, OCL1	Taizhou	20210617	8	16	64	64	1024	512	1024	16		4	SAMN36593691
TZ-371	540	2	KL2, OCL1	Taizhou	20210703	512	512	32	32	1024	256	64	8		0.25	SAMN36593692
TZ-375	369	2	KL28, OCL1	Taizhou	20210713	16	32	64	64	1024	1024	1024	16		0.5	SAMN36593693
TZ-399	540	2	KL28, OCL1	Taizhou	20210815	512	512	64	64	1024	256	1024	8	1	1	SAMN36593694
TZ-405	369	2	KL7, OCL1	Taizhou	20210827	512	512	64	64	1024	512	1024	8	0.5	0.25	SAMN36593695
TZ-406	540	2	KL7, OCL1	Taizhou	20210821	512	512	64	64	1024	256	1024	8	1	2	SAMN36593696
TZ-42	208	2	KL7, OCL1	Taizhou	20200430	512	512	64	64	1024	128	128	2	2	0.125	SAMN36593697
TZ-420	208	2	KL3, OCL1	Taizhou	20210923	512	512	128	64	1024	256	256	2	1	0.25	SAMN36593698
TZ-423	-	203	KL7, OCL1	Taizhou	20210917	4	2	0.25	0.25	16	256	2	<0.06	0.25	0.25	SAMN36593699
TZ-438	540	2	KL28, OCL1	Taizhou	20211015	512	512	64	32	1024	256	1024	4	1	2	SAMN36593700
TZ-44	369	2	KL3, OCL1	Taizhou	20200506	8	32	32	64	256	256	128	8	2	0.5	SAMN36593701
TZ-446	-	2	KL2, OCL1	Taizhou	20211028	16	32	64	64	1024	1024	1024	8	2	0.5	SAMN36593702
TZ-452	208	2	KL3, OCL1	Taizhou	20211106	8	512	64	128	1024	1024	256	<0.06	4	16	SAMN36593703
TZ-454	208	2	KL3, OCL1	Taizhou	20211112	4	32	64	64	1024	128	512	2	1	0.5	SAMN36593704
TZ-458	540	2	KL210, OCL1	Taizhou	20211117	512	512	64	64	1024	512	1024	4	2	0.5	SAMN36593705
TZ-465	369	2	KL2, OCL1	Taizhou	20211211	512	16	64	64	1024	512	1024	4	2	0.25	SAMN36593706
TZ-49	462	46	KL12, OCL2	Taizhou	20200530	16	128	32	64	32	8	128	0.125	0.25	0.25	SAMN36593707
TZ-51	938	2	KL127, OCL6	Taizhou	20200603	512	512	32	32	1024	512	1024	4	1	0.25	SAMN36593708
TZ-56	208	2	KL91, OCL4	Taizhou	20200607	512	512	32	32	1024	128	256	16	2	0.25	SAMN36593709
TZ-63	369	2	KL7, OCL1	Taizhou	20200617	8	32	64	64	1024	512	1024	8	2	0.5	SAMN36593710
TZ-69	-	-	KL2, OCL1	Taizhou	20200629	2	4	1	1	16	4	4	<0.06	0.25	0.06	SAMN36593711
TZ-85	208	2	KL7, OCL1	Taizhou	20200711	512	512	128	128	512	128	512	16	1	0.06	SAMN36593712
TZ-89	369	2	KL7, OCL1	Taizhou	20200712	16	32	64	64	1024	1024	1024	8	0.5	0.5	SAMN36593713
TZ-9	369	2	KL2, OCL1	Taizhou	20200109	8	8	128	64	1024	512	1024	8	0.5	0.5	SAMN36593714
TZ-99	208	2	KL7, OCL1	Taizhou	20200717	512	512	128	128	1024	128	512	16	2	0.25	SAMN36593715
WAb01	643	2	KL7, OCL1	Ningbo	20160129	512	512	64	64	1024	256	256	4	2	0.06	SAMN36593716
WAb03	208	2	KL160, OCL1	Ningbo	20160127	512	512	64	64	1024	1024	512	8	2	0.06	SAMN36593717
WAb04	-	25	KL7, OCL1	Ningbo	20160131	512	512	64	64	1024	128	128	8	1	0.125	SAMN36593718
WAb05	208	2	KL7, OCL1	Ningbo	20160214	512	512	64	64	1024	128	512	8	2	0.125	SAMN36593719
WAb06	208	2	KL51, OCL2	Ningbo	20160221	512	512	128	128	512	128	128	8	0.5	0.125	SAMN36593720
WAb07	-	142	KL7, OCL1	Ningbo	20160220	4	2	1	1	16	4	4	<0.06	0.5	0.125	SAMN36593721
WAb09	-	2	KL2, OCL1	Ningbo	20160309	8	512	64	64	1024	512	64	8	0.5	<0.03	SAMN36593722
WAb10	208	2	KL2, OCL1	Ningbo	20160317	8	512	64	128	1024	256	256	8	0.5	0.125	SAMN36593723
WAb12	643	2	KL7, OCL1	Ningbo	20160331	512	512	64	64	1024	128	128	8	2	0.125	SAMN36593724
WAb13	369	2	KL9, OCL1	Ningbo	20160410	512	512	32	64	512	128	1024	8	1	0.5	SAMN36593725
WAb14	-	218	KL7, OCL1	Ningbo	20180804	512	512	32	64	1024	256	128	<0.06	0.25	0.125	SAMN36593726
WAb18	-	203	KL2, OCL1	Ningbo	20181026	2	512	16	16	1024	512	64	<0.06	0.25	0.125	SAMN36593727
WAb20	-	-	KL2, OCL1	Ningbo	20181219	1	2	0.25	0.125	8	2	64	<0.06	0.25	0.5	SAMN36593728
WAb215	208	2	KL139, OCL6	Hangzhou	20180813	8	512	32	64	1024	256	1024	8	1	0.125	SAMN36593729
WAb22	-	-	KL2, OCL1	Ningbo	20190103	4	4	0.25	0.5	256	16	64	0.125	1	0.5	SAMN36593730
WAb221	540	2	KL2, OCL1	Hangzhou	20180828	8	512	64	64	1024	1024	1024	4	2	2	SAMN36593731
WAb226	355	16	KL210, OCL1	Hangzhou	20180905	8	512	16	32	64	8	32	4	2	1	SAMN36593732
WAb228	208	2	KL72, OCL1	Hangzhou	20180830	512	512	64	64	512	128	128	8	2	0.25	SAMN36593733
WAb230	355	16	KL3, OCL1	Hangzhou	20180910	8	512	32	32	64	8	32	4	2	1	SAMN36593734
WAb231	-	-	KL7, OCL1	Hangzhou	20180912	4	2	32	32	16	4	1	<0.06	0.25	0.25	SAMN36593735
WAb233	208	2	KL210, OCL1	Hangzhou	20180914	8	512	32	64	512	256	128	16	1	0.25	SAMN36593736
WAb237	1379	877	KL7, OCL1	Hangzhou	20180928	4	2	64	128	16	4	2	<0.06	0.25	0.25	SAMN36593737
WAb240	195	2	KL160, OCL1	Hangzhou	20181006	8	16	64	64	1024	1024	512	4	2	0.125	SAMN36593738
WAb248	195	2	KL7, OCL1	Hangzhou	20181106	8	16	64	64	1024	1024	128	4	2	0.25	SAMN36593739
WAb251	436	2	KL72, OCL1	Hangzhou	20181112	4	8	128	128	1024	256	512	2	2	0.125	SAMN36593740
WAb253	355	16	KL7, OCL1	Hangzhou	20181115	8	512	32	32	64	8	512	4	2	1	SAMN36593741
WAb258	208	2	KL9, OCL1	Hangzhou	20181120	4	8	32	64	512	128	128	8	1	0.25	SAMN36593742
WAb262	-	-	KL9, OCL1	Hangzhou	20181210	8	16	32	64	1024	1024	128	4	1	0.25	SAMN36593743
WAb264	-	-	KL9, OCL1	Hangzhou	20181216	8	16	64	64	1024	1024	512	4	1	0.25	SAMN36593744
WAb28	643	2	KL72, OCL1	Ningbo	20180807	512	512	64	64	1024	128	512	4	1	0.125	SAMN36593745
WAb280	208	2	KL2, OCL1	Hangzhou	20190130	4	8	32	32	512	128	64	8	1	0.25	SAMN36593746
WAb282	938	2	KL7, OCL1	Hangzhou	20190217	512	512	128	128	1024	512	256	4	2	0.125	SAMN36593747
WAb283	938	2	KL2, OCL1	Hangzhou	20190218	8	16	64	64	1024	1024	512	4	2	0.25	SAMN36593748
WAb285	191	2	KL7, OCL1	Hangzhou	20190303	1	4	128	64	1024	256	256	4	2	0.5	SAMN36593749
WAb288	191	2	KL7, OCL1	Hangzhou	20190307	8	16	128	128	1024	512	256	2	1	0.25	SAMN36593750
WAb292	208	2	KL72, OCL1	Hangzhou	20190323	4	256	32	64	512	256	128	16	1	0.125	SAMN36593751
WAb296	208	2	KL2, OCL1	Hangzhou	20190326	16	512	64	64	1024	128	128	16	0.5	0.125	SAMN36593752
WAb301	208	2	KL2, OCL1	Hangzhou	20190409	4	256	32	64	1024	512	64	16	1	0.25	SAMN36593753
WAb303	208	2	KL2, OCL1	Hangzhou	20190428	8	8	64	128	1024	512	256	16	0.5	0.125	SAMN36593754
WAb304	938	2	KL93, OCL2	Hangzhou	20190504	512	512	64	64	1024	512	256	8	0.25	0.125	SAMN36593755
WAb306	208	2	KL160, OCL1	Hangzhou	20190530	8	16	64	64	1024	128	64	2	1	0.5	SAMN36593756
WAb309	208	2	KL2, OCL1	Hangzhou	20190617	8	16	32	32	512	128	1024	8	2	0.5	SAMN36593757
WAb313	642	23	KL160, OCL1	Hangzhou	20190619	8	1	0.25	0.25	16	4	2/128	<0.06	0.25	0.5	SAMN36593758
WAb315	208	2	KL9, OCL1	Hangzhou	20190701	8	32	128	64	1024	1024	256	8	4	0.25	SAMN36593759
WAb318	208	2	KL160, OCL1	Hangzhou	20190702	16	16	64	64	1024	512	256	8	4	0.25	SAMN36593760
WAb324	208	2	KL9, OCL1	Hangzhou	20190715	8	32	128	128	1024	512	128	4	4	0.06	SAMN36593761
WAb332	208	2	KL160, OCL1	Hangzhou	20190726	8	16	128	128	1024	256	1024	2	2	0.125	SAMN36593762
WAb333	208	2	KL9, OCL1	Hangzhou	20190726	8	32	128	128	1024	1024	256	8	4	0.125	SAMN36593763
WAb337	195	2	KL160, OCL1	Hangzhou	20190706	8	16	64	64	1024	512	128	4	2	0.25	SAMN36593764
WAb346	208	2	KL7, OCL1	Hangzhou	20190820	8	16	64	64	1024	128	1024	8	1	0.125	SAMN36593765
WAb347	938	2	KL7, OCL1	Hangzhou	20190821	512	512	32	64	1024	512	256	4	2	<0.03	SAMN36593766
WAb354	938	2	KL52, OCL6	Hangzhou	20190913	8	8	64	128	1024	512	256	4	1	0.25	SAMN36593767
WAb359	208	2	KL160, OCL1	Hangzhou	20190930	8	16	64	64	512	256	512	2	2	0.5	SAMN36593768
WAb364	208	2	KL9, OCL1	Hangzhou	20191006	8	16	64	64	1024	512	128	4	4	0.125	SAMN36593769
WAb365	547	2	KL217, OCL1	Hangzhou	20191015	512	512	128	128	1024	512	1024	4	2	0.5	SAMN36593770
WAb369	369	2	KL7, OCL1	Hangzhou	20191021	16	256	64	128	1024	1024	1024	4	2	0.5	SAMN36593771
WAb372	191	2	KL7, OCL1	Hangzhou	20191030	512	512	128	128	1024	128	256	0.5	2	0.25	SAMN36593772
WAb375	208	2	KL160, OCL1	Hangzhou	20191107	512	512	64	128	1024	512	128	8	2	0.125	SAMN36593773
WAb378	-	1016	KL9, OCL1	Hangzhou	20191207	4	2	64	128	32	4	512	1	0.25	0.25	SAMN36593774
WAb380	-	2	KL28, OCL1	Hangzhou	20191210	8	8	2	2	1024	512	512	1	2	2	SAMN36593775
WAb383	136	2	KL210, OCL1	Hangzhou	20191214	512	512	128	128	1024	512	256	4	2	0.06	SAMN36593776
WAb387	208	2	KL2, OCL1	Hangzhou	20200101	8	16	64	64	1024	1024	256	8	4	0.125	SAMN36593777
WAb389	208	2	KL9, OCL1	Hangzhou	20200102	8	512	64	64	512	128	128	16	0.5	0.125	SAMN36593778
WAb392	540	2	KL42, OCL6	Hangzhou	20200103	512	512	64	64	1024	512	128	2	1	0.25	SAMN36593779
WAb393	547	2	KL2, OCL1	Hangzhou	20200106	512	512	64	64	1024	512	512	4	2	0.25	SAMN36593780
WAb396	208	2	KL9, OCL1	Hangzhou	20200114	8	32	128	64	1024	1024	256	8	4	0.25	SAMN36593781
WAb397	208	2	KL9, OCL1	Hangzhou	20200203	8	32	64	128	1024	1024	256	8	2	0.125	SAMN36593782
WAb399	784	2	KL2, OCL1	Hangzhou	20200306	4	128	64	64	1024	128	256	4	2	0.25	SAMN36593783
WAb403	208	2	KL8, OCL1	Hangzhou	20200325	8	32	64	64	1024	1024	256	8	4	0.06	SAMN36593784
WAb406	195	2	KL2, OCL1	Hangzhou	20200406	1	4	64	64	1024	512	64	0.5	1	0.125	SAMN36593785
WAb412	208	2	KL116, OCL6	Hangzhou	20200601	8	512	128	128	1024	512	128	8	0.5	0.25	SAMN36593786
WAb415	208	2	KL2, OCL1	Hangzhou	20200614	16	512	128	128	1024	512	256	8	0.5	0.125	SAMN36593787
WAb418	208	2	KL2, OCL1	Hangzhou	20200629	512	512	128	64	1024	128	128	8	0.5	0.125	SAMN36593788
WAb420	462	46	KL84, OCL9	Hangzhou	20200630	8	32	32	32	1024	1024	64	<0.06	0.25	0.25	SAMN36593789
WAb422	208	2	KL2, OCL1	Hangzhou	20200623	8	512	64	32	1024	1024	256	8	0.5	0.125	SAMN36593790
WAb427	208	2	KL2, OCL1	Hangzhou	20200721	4	32	64	64	1024	256	64	<0.06	2	0.25	SAMN36593791
WAb432	462	46	KL8, OCL1	Hangzhou	20200809	512	512	64	64	1024	1024	128	8	2	0.125	SAMN36593792
WAb436	136	2	KL9, OCL1	Hangzhou	20200904	512	128	128	64	1024	1024	256	8	1	0.25	SAMN36593793
WAb441	208	2	KL59, OCL9	Hangzhou	20201018	512	512	64	64	1024	512	128	16	2	0.125	SAMN36593794
WAb443	208	2	KL97, OCL6	Hangzhou	20201023	4	8	32	32	1024	128	64	16	1	0.125	SAMN36593795
WAb445	136	2	KL204, OCL2	Hangzhou	20201029	512	512	128	128	1024	1024	256	8	0.5	0.06	SAMN36593796
WAb447	457	2	KL2, OCL1	Hangzhou	20201118	8	8	128	128	1024	512	256	8	0.5	0.25	SAMN36593797
WAb450	208	2	KL10, OCL1	Hangzhou	20201207	8	16	128	64	512	128	256	8	1	0.125	SAMN36593798
WAb453	369	2	KL160, OCL1	Hangzhou	20201217	512	512	64	64	1024	1024	128	4	0.5	0.125	SAMN36593799
WAb457	208	2	KL24, OCL2	Hangzhou	20210111	512	512	64	64	1024	1024	128	8	0.5	0.06	SAMN36593800
WAb462	208	2	KL2, OCL1	Hangzhou	20210118	512	512	128	128	1024	1024	256	4	0.5	0.06	SAMN36593801
WAb465	208	2	KL24, OCL2	Hangzhou	20210121	512	512	64	64	1024	1024	128	4	0.5	0.25	SAMN36593802
WAb469	369	2	KL126, OCL12	Hangzhou	20210124	512	512	64	64	1024	1024	128	4	0.25	0.25	SAMN36593803
WAb475	369	2	KL2, OCL1	Hangzhou	20210215	512	512	64	64	1024	1024	128	4	0.5	0.25	SAMN36593804
WAb478	208	2	KL61, OCL15	Hangzhou	20210225	512	512	32	64	1024	1024	128	4	2	0.25	SAMN36593805
WAb487	208	2	KL3, OCL1	Hangzhou	20210318	512	512	128	128	1024	1024	256	4	0.25	0.06	SAMN36593806
WAb490	208	2	KL3, OCL1	Hangzhou	20210325	512	512	1288	64	1024	1024	256	4	2	0.125	SAMN36593807
WAb492	369	2	KL45, OCL1	Hangzhou	20210328	512	512	128	128	1024	1024	256	4	0.25	0.125	SAMN36593808
WAb496	938	2	KL24, OCL2	Hangzhou	20210412	512	512	128	128	1024	1024	256	4	1	0.125	SAMN36593809
WAb502	369	2	KL2, OCL1	Hangzhou	20210421	512	512	64	64	1024	1024	128	4	2	0.25	SAMN36593810
WAb507	369	2	KL3, OCL1	Hangzhou	20210430	512	512	64	64	1024	1024	128	4	2	0.125	SAMN36593811
WAb511	369	2	KL3, OCL1	Hangzhou	20210510	512	512	128	128	1024	1024	128	4	1	0.25	SAMN36593812
WAb514	369	2	KL8, OCL1	Hangzhou	20210513	512	512	64	64	1024	1024	128	4	1	0.25	SAMN36593813
WAb518	938	2	KL2, OCL1	Hangzhou	20210518	512	512	64	64	1024	1024	128	4	2	0.125	SAMN36593814
WAb521	208	2	KL210, OCL1	Hangzhou	20210601	512	512	32	64	1024	1024	64	8	2	0.125	SAMN36593815
WAb522	1477	106	KL210, OCL1	Hangzhou	20210602	2	512	16	16	512	1024	32	4	0.5	0.5	SAMN36593816
WAb524	208	2	KL9, OCL1	Hangzhou	20210701	512	512	128	128	1024	1024	256	8	2	0.125	SAMN36593817
WAb527	-	-	KL9, OCL1	Hangzhou	20210710	1	0.5	32	64	64	1024	128	<0.06	0.5	0.25	SAMN36593818
WAb528	208	2	KL2, OCL1	Hangzhou	20210720	8	32	32	64	1024	1024	64	16	1	0.06	SAMN36593819
WAb532	-	126	KL2, OCL1	Hangzhou	20210729	512	512	32	64	1024	1024	128	<0.06	0.25	1	SAMN36593820
WAb533	355	16	KL2, OCL1	Hangzhou	20210802	8	16	32	32	1024	64	64	4	1	8	SAMN36593821
WAb536	369	2	KL2, OCL1	Hangzhou	20210822	512	512	64	64	1024	512	128	8	2	<0.06	SAMN36593822
WAb538	191	2	KL210, OCL1	Hangzhou	20210823	8	512	128	128	1024	512	256	8	0.5	0.25	SAMN36593823
WAb540	208	2	KL7, OCL1	Hangzhou	20210826	64	512	128	32	1024	256	256	8	0.5	0.125	SAMN36593824
WAb543	208	2	KL7, OCL1	Hangzhou	20210910	512	512	128	64	1024	1024	128	16	2	0.125	SAMN36593825
WAb546	938	2	KL8, OCL2	Hangzhou	20211012	512	512	128	128	1024	1024	256	4	2	0.125	SAMN36593826
WAb551	195	2	KL2, OCL1	Hangzhou	20211024	512	512	64	64	1024	1024	128	16	2	0.125	SAMN36593827
WAb555	195	2	KL2, OCL1	Hangzhou	20211101	32	128	4	8	1024	1024	32	16	4	0.125	SAMN36593828
WAb559	369	2	KL2, OCL1	Hangzhou	20211108	512	512	64	64	1024	1024	128	4	0.5	0.25	SAMN36593829
WAb563	208	2	KL7, OCL1	Hangzhou	20211111	512	512	128	128	1024	256	256	0.5	0.5	0.125	SAMN36593830
WAb567	208	2	KL2, OCL1	Hangzhou	20211128	512	512	128	64	1024	1024	256	16	2	0.06	SAMN36593831
WAb571	369	2	KL3, OCL1	Hangzhou	20211213	512	512	128	64	1024	1024	128	8	0.5	0.125	SAMN36593832
WAb576	195	2	KL7, OCL1	Hangzhou	20211217	4	32	4	4	1024	1024	16	2	0.5	0.125	SAMN36593833
WAb58	-	504	KL210, OCL1	Ningbo	20181031	4	2	0.5	1	16	4	2	<0.06	0.5	0.25	SAMN36593834
WAb580	208	2	KL210, OCL1	Hangzhou	20211222	512	512	128	128	1024	128	256	8	4	0.125	SAMN36593835
WAb583	208	2	KL7, OCL1	Hangzhou	20211227	512	512	128	128	1024	1024	128	8	0.5	0.06	SAMN36593836
WAb60	-	2	KL2, OCL1	Ningbo	20181214	512	512	64	32	1024	256	256	1	1	0.5	SAMN36593837
WAb64	208	2	KL14, OCL1	Ningbo	20191209	8	512	128	128	1024	256	128	8	1	0.06	SAMN36593838
WAb71	208	2	KL9, OCL1	Ningbo	20190223	8	512	64	64	1024	512	512	8	1	0.06	SAMN36593839
WAb72	208	2	KL9, OCL1	Ningbo	20190312	8	256	128	128	1024	256	512	8	1	0.125	SAMN36593840
WAb75	643	2	KL2, OCL1	Ningbo	20190413	512	512	64	64	1024	128	256	4	2	0.25	SAMN36593841
WAb85	643	2	KL194, OCL2	Ningbo	20200725	512	512	64	64	1024	128	512	8	2	0.125	SAMN36593842
A1	191	2	KL116, OCL1	Hangzhou	20171124	4	8	16	32	32	256	32	1	2	1	SAMN29490345
A11	195	2	KL77, OCL1	Hangzhou	20180201	1024	1024	32	64	128	512	256	16	2	0.25	SAMN29490346
A1123	191	2	KL2, OCL1	Hangzhou	20180325	4	8	8	32	64	256	64	1	0.5	1	SAMN29490347
A13	191	2	KL2, OCL1	Hangzhou	20180209	1024	1024	32	64	128	128	64	1	2	0.125	SAMN29490348
A14	195	2	KL44, OCL1	Hangzhou	20180224	1024	1024	32	64	128	512	256	8	2	0.125	SAMN29490349
A15	369	2	KL14, OCL1	Hangzhou	20180306	512	1024	32	64	64	512	256	8	2	0.5	SAMN29490350
A16	191	2	KL2, OCL1	Hangzhou	20150519	1024	1024	32	64	128	128	128	2	2	0.5	SAMN29490351
A17	195	2	KL2, OCL1	Hangzhou	20150128	1024	1024	32	64	128	512	256	16	2	0.5	SAMN29490352
A19	191	2	KL14, OCL1	Hangzhou	20150211	1024	1024	32	64	128	128	128	1	2	0.5	SAMN29490353
A2	191	2	KL2, OCL1	Hangzhou	20171123	512	1024	16	32	64	128	32	1	1	0.25	SAMN29490354
A22	1927	109	KL3, OCL1	Hangzhou	20150515	0.5	1	0.125	0.5	4	4	1	0.5	0.25	1	SAMN29490355
A24	191	2	KL2, OCL1	Hangzhou	20150817	1024	1024	16	64	128	128	64	1	2	0.5	SAMN29490356
A25	191	2	KL2, OCL1	Hangzhou	20150902	256	1024	16	64	128	128	64	2	1	0.25	SAMN29490357
A26	208	2	KL7, OCL1	Hangzhou	20150924	1024	1024	32	64	128	128	64	32	2	0.25	SAMN29490358
